Table S1- Differentially expressed genes for CHD8-A and CHD8-B human derived neurons compared to the isogenic control. 									
gene	baseMean_CHD8KO_lineA	log2FoldChange_CHD8KO_lineA	lfcSE_CHD8KO_lineA	pvalue_CHD8KO_lineA	log2FoldChange_CHD8KO_lineB	lfcSE_CHD8KO_lineB	pvalue_CHD8KO_lineB	padj_CHD8KO_lineB	meanLFC_bothLines
KIAA1033	82.54300044	-0.484045341	0.183052483	0.008186052	-0.573322704	0.187307077	0.002206945	0.039263404	-0.528684022
KIAA1107	74.33194524	1.019352062	0.21134581	1.41E-06	0.925589826	0.214089102	1.54E-05	0.000741768	0.972470944
KIAA1244	54.35052019	0.958822412	0.231858177	3.54E-05	1.104243857	0.23326527	2.20E-06	0.000145738	1.031533135
KIAA1598	60.13933363	0.904176438	0.238062881	0.000145835	1.085458237	0.239077128	5.62E-06	0.000323373	0.994817338
KIDINS220	328.6867912	0.714629336	0.144806799	8.01E-07	0.754444687	0.14571776	2.25E-07	2.01E-05	0.734537011
KIF20B	64.63663166	-0.703156982	0.203723282	0.000557418	-0.74541027	0.207835621	0.000335098	0.009593125	-0.724283626
KIF21A	203.7039654	1.131308025	0.150596625	5.82E-14	1.093953397	0.152207092	6.61E-13	2.19E-10	1.112630711
KIF23	20.59048305	-0.881748284	0.280660167	0.001679736	-0.990306117	0.285850478	0.000531376	0.01385528	-0.936027201
KIF3A	450.9027873	0.99915554	0.121668819	2.17E-16	0.719163675	0.123311955	5.47E-09	8.15E-07	0.859159608
KIF5C	570.0457942	0.525045801	0.126432709	3.28E-05	0.571113081	0.127082727	6.99E-06	0.000387689	0.548079441
KIFAP3	206.1568081	0.798252685	0.147160532	5.82E-08	0.519255942	0.149970989	0.000535429	0.013877956	0.658754314
KLHL13	140.4401152	0.609302784	0.173748475	0.000453514	1.380713421	0.17176197	9.09E-16	5.41E-13	0.995008102
KLHL32	8.808797431	-1.281681567	0.320310898	6.30E-05	-1.129307836	0.320634873	0.000428144	0.011657783	-1.205494702
KRR1	90.57681106	-0.490894527	0.185472704	0.008127635	-0.754860116	0.190907605	7.68E-05	0.002883292	-0.622877321
KRT222	28.24770092	0.827030566	0.298176849	0.005543565	1.230750475	0.298036642	3.64E-05	0.00153137	1.028890521
L1TD1	201.9521503	-1.343811133	0.171948729	5.49E-15	-1.098761602	0.172633173	1.96E-10	4.48E-08	-1.221286368
LAMTOR5	406.4047829	-0.44965212	0.136322483	0.000972222	-0.376844739	0.137244219	0.006036414	0.081069488	-0.413248429
LARP7	389.4220856	-0.770280622	0.121479619	2.29E-10	-0.598395146	0.122276582	9.89E-07	7.12E-05	-0.684337884
LDB3	26.10383359	-1.192217407	0.274438528	1.40E-05	-0.844459478	0.274549324	0.002099369	0.03780134	-1.018338443
LDHA	373.5667894	-0.554495197	0.128897925	1.69E-05	-0.552184004	0.130277703	2.25E-05	0.001041193	-0.553339601
LDHB	2383.823028	-0.34949744	0.11604853	0.002598328	-0.390685684	0.116321169	0.000783155	0.017980343	-0.370091562
LECT1	9.422547858	-1.343773235	0.320652379	2.78E-05	-0.963126308	0.320621236	0.002665096	0.044671511	-1.153449771
LEMD1	20.46431754	1.404767474	0.304279841	3.90E-06	1.390596815	0.305763153	5.42E-06	0.00031415	1.397682145
LEPROT	143.1842644	-0.417362963	0.155315639	0.007205549	-0.502763914	0.158537867	0.001517821	0.0299242	-0.460063439
LIMA1	119.1407954	-1.075514961	0.185771714	7.06E-09	-1.071099659	0.188550437	1.34E-08	1.75E-06	-1.07330731
LINC00493	195.7655192	0.429457183	0.163272254	0.008530621	0.443039534	0.164697882	0.007144912	0.091028828	0.436248358
LINC00678	36.37976882	-1.202843066	0.245875314	9.98E-07	-1.118280989	0.249275057	7.25E-06	0.000397389	-1.160562027
LITAF	40.42015352	-0.817406663	0.242621281	0.000754239	-0.809403947	0.246384134	0.001019353	0.022096698	-0.813405305
LMO3	152.9071264	1.867568022	0.189539256	6.64E-23	1.169393027	0.193361333	1.47E-09	2.84E-07	1.518480525
LOC440173	33.88350497	2.068804999	0.278889201	1.19E-13	1.63938685	0.282783827	6.74E-09	9.71E-07	1.854095924
LOC642366	11.36845097	0.905366379	0.317351955	0.004332526	0.908964456	0.318184773	0.004280447	0.063083622	0.907165418
LOC643401	25.04241478	-1.1222701	0.303252792	0.000214943	-0.862637923	0.303780282	0.004515921	0.06547353	-0.992454011
LOC654433	68.18349128	1.856657172	0.23159634	1.09E-15	1.93702562	0.232993097	9.28E-17	6.91E-14	1.896841396
LPPR1	56.99737965	1.441015756	0.250199936	8.44E-09	1.371231585	0.252266308	5.46E-08	6.02E-06	1.40612367
LRRN3	141.626807	1.54333816	0.18718019	1.65E-16	0.911300911	0.191256035	1.89E-06	0.000125981	1.227319536
LSAMP	168.2226729	0.810108701	0.16540636	9.70E-07	0.974770122	0.166268485	4.56E-09	6.90E-07	0.892439412
LSM5	475.4397944	-0.495882155	0.155762404	0.001454657	-0.445191308	0.156472688	0.004438781	0.064616673	-0.470536731
LUZP2	34.25018098	0.778371384	0.266448435	0.003485926	0.835390209	0.268389169	0.001854423	0.034751102	0.806880796
MAD2L1	35.16392669	-0.725565397	0.251058745	0.003852144	-0.682169948	0.254338899	0.007315506	0.092805095	-0.703867672
MAGED2	229.2940288	-0.521727421	0.155987529	0.000823794	-0.494130142	0.157562898	0.001712214	0.032720059	-0.507928782
MAP1A	232.3194599	-0.518811277	0.156851672	0.000940805	-0.811823058	0.159960718	3.87E-07	3.26E-05	-0.665317168
MAP2	732.7337638	0.817771734	0.119267652	7.05E-12	1.040668128	0.11950504	3.09E-18	2.76E-15	0.929219931
MAPK10	138.689521	0.616362992	0.175276341	0.000437242	0.502595701	0.177667349	0.004671442	0.067075	0.559479347
MAPK6	272.0849931	0.487539222	0.167879861	0.003683153	0.494596468	0.168881713	0.003404308	0.054389757	0.491067845
MAPRE1	265.4688009	-0.992799346	0.138023517	6.34E-13	-0.557473952	0.137662677	5.13E-05	0.002029271	-0.775136649
MAPRE2	138.8620927	0.559679109	0.162633554	0.000578818	0.571308178	0.164595647	0.000518563	0.013661608	0.565493643
MAPT	122.2336622	1.158868112	0.174658677	3.24E-11	1.03973841	0.177191684	4.41E-09	6.80E-07	1.099303261
6-Mar	472.3866252	0.387832627	0.131580258	0.003203562	0.426520788	0.132353754	0.001270409	0.025904165	0.407176708
MCM3	30.37017296	-0.846615864	0.256821739	0.000978935	-0.721701302	0.259444648	0.005407235	0.0743184	-0.784158583
MDK	74.83744158	-1.072396436	0.202514482	1.19E-07	-1.259459278	0.208340936	1.49E-09	2.84E-07	-1.165927857
MEF2C	45.2925908	-0.913401368	0.229600216	6.94E-05	-1.378657801	0.239641488	8.77E-09	1.22E-06	-1.146029584
MGST1	184.0650783	-1.263949162	0.171107683	1.50E-13	-1.076966319	0.172190933	3.99E-10	8.69E-08	-1.17045774
MKI67IP	207.283463	-0.561955635	0.150248963	0.000183901	-0.491251915	0.151843634	0.001215368	0.025068025	-0.526603775
MNAT1	121.1046353	-0.455783474	0.168283333	0.006760256	-0.483241386	0.171226983	0.004769143	0.068258362	-0.46951243
MORN4	127.3699091	0.605541353	0.174200266	0.000508721	0.60382522	0.17618232	0.000609672	0.014999943	0.604683287
MPHOSPH8	288.5482684	0.528739107	0.127892574	3.56E-05	0.486208413	0.12946953	0.000173073	0.00562077	0.50747376
MRPL20	108.9437023	-0.488717334	0.177973744	0.006032528	-0.492372559	0.180736087	0.006444525	0.085142086	-0.490544947
MRPS36	171.6428891	-0.429773312	0.15893096	0.006847917	-0.457640102	0.161230113	0.004533631	0.065623764	-0.443706707
MSI1	46.75870051	-0.638244614	0.223415274	0.004279845	-0.885568242	0.23025414	0.000120039	0.004139251	-0.761906428
MSMO1	1803.569417	-0.372031475	0.104534294	0.000372352	-0.527692231	0.105068843	5.10E-07	4.18E-05	-0.449861853
MT1X	175.1588801	-1.033620819	0.155505095	2.99E-11	-0.723766049	0.155872584	3.43E-06	0.000208303	-0.878693434
MTHFD2	329.780733	-1.061787335	0.161102363	4.38E-11	-0.485309617	0.16040528	0.002482048	0.042793765	-0.773548476
MYCBP2	195.6314266	0.611736678	0.155168587	8.07E-05	0.562839786	0.15693237	0.000335131	0.009593125	0.587288232
MYL1	11.87377828	-0.809947344	0.315160295	0.010171213	-0.980697195	0.317376328	0.002001473	0.03678015	-0.895322269
MYL6	2027.925257	-0.5505236	0.133489372	3.72E-05	-0.399533715	0.133636713	0.002792513	0.046443084	-0.475028658
MYT1L	49.98010267	2.010395484	0.252789867	1.82E-15	1.442067002	0.257610202	2.17E-08	2.62E-06	1.726231243
NAA20	72.27359109	0.552129417	0.205574802	0.007235995	0.550893649	0.208107727	0.008117186	0.099189083	0.551511533
NAP1L2	21.94214945	0.952070019	0.293915055	0.001198364	1.054704509	0.295325898	0.000355181	0.010006693	1.003387264
NAPB	94.87298662	0.977943045	0.190739512	2.94E-07	0.908380983	0.193280383	2.60E-06	0.000164336	0.943162014
NCAM1	181.5641806	0.809117908	0.171247317	2.30E-06	0.856897336	0.172461964	6.74E-07	5.15E-05	0.833007622
NDRG4	87.11181102	1.051070147	0.206812532	3.73E-07	1.039206414	0.208821618	6.47E-07	5.03E-05	1.04513828
NECAB1	57.14987368	-1.138445823	0.20723565	3.94E-08	-1.098440983	0.211284222	2.00E-07	1.85E-05	-1.118443403
NEDD4L	193.5628666	0.987269496	0.161251508	9.21E-10	0.942085502	0.162829926	7.22E-09	1.02E-06	0.964677499
NEFL	619.5209487	0.527689074	0.171917292	0.002144636	0.617157516	0.172244176	0.000339621	0.009690148	0.572423295
NEFM	2427.151281	0.919613607	0.124354196	1.41E-13	0.75443811	0.124603425	1.41E-09	2.79E-07	0.837025859
NEGR1	54.02411866	2.223394687	0.263089547	2.89E-17	1.36250286	0.268321861	3.82E-07	3.25E-05	1.792948774
NEUROD1	213.8372092	-1.142660441	0.163383848	2.68E-12	-1.237377822	0.166011084	9.08E-14	3.72E-11	-1.190019131
NEUROD4	125.0787515	-1.440268485	0.192633271	7.62E-14	-1.473314356	0.195793948	5.28E-14	2.48E-11	-1.456791421
NFE2L2	52.55081964	-0.81555934	0.215277676	0.000151617	-0.724068677	0.218309722	0.000910861	0.020286542	-0.769814008
NHLH1	149.8841187	-0.940668408	0.159926197	4.06E-09	-0.5414886	0.159665957	0.000695406	0.016386983	-0.741078504
NKAIN2	10.67995871	1.160773317	0.317491743	0.000256107	1.167215146	0.31820002	0.000244283	0.007446034	1.163994232
NKAIN4	89.45113844	-1.872434016	0.187994064	2.28E-23	-2.12034478	0.196709519	4.32E-27	9.65E-24	-1.996389398
NMNAT2	194.0303601	0.426945501	0.162898033	0.008768843	0.494289703	0.16413285	0.002599415	0.044039667	0.460617602
NMU	19.9075747	0.955051138	0.296320731	0.001268415	1.14266052	0.297292406	0.000121263	0.0041654	1.048855829
NOL4	14.167657	1.534444314	0.309997474	7.43E-07	0.917501823	0.313762064	0.00345347	0.054978511	1.225973068
NOP10	528.2674628	-0.501822305	0.131068788	0.000128825	-0.428314397	0.131831565	0.001158311	0.024194935	-0.465068351
NOVA1	45.9300041	0.977769997	0.235898964	3.40E-05	0.671561524	0.240759622	0.005281486	0.07347188	0.82466576
NPC2	144.9177788	-0.897873534	0.169443552	1.16E-07	-0.890512297	0.171950109	2.23E-07	2.01E-05	-0.894192915
NPEPPS	192.8988168	0.398786202	0.14407111	0.005640461	0.453955479	0.145601394	0.001822087	0.034294161	0.42637084
NPM1	743.2574112	-0.489820915	0.117213777	2.93E-05	-0.408607089	0.117824126	0.000524463	0.013776406	-0.449214002
NRAS	352.7069141	-0.449400247	0.12660595	0.00038582	-0.388419002	0.127817875	0.002374852	0.041549671	-0.418909625
NRXN1	119.2246358	0.800795224	0.190963297	2.75E-05	0.558961849	0.193891996	0.003940931	0.060164873	0.679878537
NSG1	85.20420683	0.725246655	0.19791109	0.000247815	0.777657176	0.199835157	9.96E-05	0.003541103	0.751451915
NTM	22.97269101	1.442385114	0.298823691	1.39E-06	1.210234677	0.301369701	5.92E-05	0.002261348	1.326309896
NTS	379.210225	2.75738034	0.206259228	9.24E-41	2.428881303	0.207060422	8.91E-32	7.96E-28	2.593130822
NUAK1	44.0396041	0.741931406	0.243793277	0.002340138	0.829553944	0.24572766	0.000735725	0.01706692	0.785742675
NUDT5	137.6468528	-0.672639253	0.170519379	7.99E-05	-0.570504768	0.172298174	0.00092914	0.02053998	-0.62157201
NUSAP1	133.6214936	-0.750996682	0.169760541	9.70E-06	-0.69287227	0.171956224	5.59E-05	0.00216241	-0.721934476
ODF2L	65.97712165	0.683494539	0.220523051	0.00193897	0.641593952	0.223083542	0.004027172	0.06106396	0.662544245
OLFM3	13.33810062	1.524722828	0.312958987	1.10E-06	1.318142902	0.314757127	2.82E-05	0.001215219	1.421432865
ONECUT2	335.705502	0.918005718	0.160583811	1.09E-08	0.715110757	0.161894033	1.00E-05	0.00051039	0.816558238
ORMDL3	16.24975545	-1.096178598	0.309835633	0.000403268	-0.952293579	0.310994956	0.002197996	0.039182246	-1.024236088
OSER1	204.9260052	-0.980834047	0.135032087	3.77E-13	-0.819339431	0.13646658	1.93E-09	3.31E-07	-0.900086739
PAICS	294.8177227	-0.792105706	0.124941352	2.30E-10	-0.682054199	0.126277078	6.62E-08	7.04E-06	-0.737079953
PAK3	139.3038854	1.353352392	0.174248364	8.05E-15	1.247430665	0.176374463	1.52E-12	4.85E-10	1.300391529
PAK7	22.18846163	1.293166564	0.286404933	6.33E-06	1.002616677	0.290518643	0.000558251	0.014204392	1.147891621
PBX1	213.2310228	0.761081797	0.152152266	5.67E-07	0.763736832	0.153590214	6.61E-07	5.09E-05	0.762409315
PCBP4	52.31627022	-0.994833474	0.216587101	4.36E-06	-0.702075871	0.217350519	0.001237231	0.025401635	-0.848454672
PCDH7	21.32669207	1.637674187	0.295127505	2.87E-08	1.031562244	0.300166685	0.000588997	0.014693657	1.334618216
PCLO	56.55979685	1.188938576	0.255611944	3.30E-06	1.080183109	0.257681932	2.77E-05	0.001199175	1.134560843
PCP4	62.31383038	1.16347688	0.225415973	2.45E-07	1.052464413	0.228281088	4.02E-06	0.00024062	1.107970646
PCSK1	48.03860892	1.88824639	0.264618138	9.63E-13	1.450912033	0.268242489	6.34E-08	6.82E-06	1.669579212
PCYOX1	196.7016172	0.538799489	0.15342663	0.000445128	0.503423821	0.155169629	0.00117721	0.024393657	0.521111655
PDLIM3	24.80746231	-1.514129242	0.271401166	2.42E-08	-1.143554694	0.271185753	2.48E-05	0.001111744	-1.328841968
PEG10	565.7496129	0.861931156	0.159340972	6.33E-08	0.462196942	0.160445352	0.003967773	0.060368282	0.662064049
PFDN4	528.5959045	-0.606447986	0.142515385	2.09E-05	-0.503410065	0.143143955	0.000436767	0.011784782	-0.554929025
PGK1	855.1426757	-0.479727738	0.118142615	4.90E-05	-0.489371127	0.118841439	3.82E-05	0.00158122	-0.484549432
PGM2L1	619.0796231	0.884881014	0.128550809	5.84E-12	0.869394082	0.129209895	1.71E-11	4.64E-09	0.877137548
PHB	125.1571039	-0.89043678	0.17132366	2.02E-07	-0.606414252	0.171937176	0.000420372	0.011481174	-0.748425516
PHLDA1	271.1362007	-0.568642223	0.134809267	2.46E-05	-0.67583318	0.137146815	8.32E-07	6.24E-05	-0.622237702
PKIA	151.4598151	0.499746385	0.173143262	0.00389779	0.714878296	0.173844035	3.92E-05	0.001605684	0.607312341
PKIB	146.9453052	-0.460975106	0.170757389	0.006942477	-0.542988998	0.173464401	0.001746505	0.033258081	-0.501982052
PLCB1	29.90140259	1.387849904	0.277950557	5.94E-07	1.634820508	0.278609999	4.42E-09	6.80E-07	1.511335206
PLCB4	22.47794566	0.86680157	0.288355535	0.002646944	0.784105965	0.291002579	0.007049468	0.09064387	0.825453768
PLIN2	17.57649804	-0.754065267	0.294213942	0.010377719	-0.907058271	0.298575385	0.002381903	0.041549671	-0.830561769
PLS3	175.3418044	-0.917747439	0.153467986	2.23E-09	-0.847287365	0.155481437	5.05E-08	5.79E-06	-0.882517402
PLXNA4	34.72760028	0.858709938	0.268507439	0.001383429	1.138470927	0.269017012	2.32E-05	0.00106099	0.998590432
PMAIP1	24.05437066	-1.067527308	0.269405108	7.42E-05	-0.979549014	0.272716731	0.000328378	0.009491094	-1.023538161
POLR2H	117.0946114	-0.674757408	0.170714725	7.73E-05	-0.647998455	0.173381332	0.00018592	0.005951437	-0.661377932
POLR3G	33.94510963	-1.366115533	0.263754829	2.22E-07	-0.8042255	0.261662944	0.002115517	0.038015449	-1.085170516
PPIA	2456.814021	-0.391049662	0.14226877	0.00598379	-0.42795483	0.142469415	0.002665985	0.044671511	-0.409502246
PPIP5K2	222.633383	0.624534951	0.162085253	0.000116619	0.477173948	0.163895107	0.003597447	0.056267596	0.55085445
PPP1R14C	54.58379436	-1.065547447	0.210649624	4.23E-07	-0.942349765	0.213550063	1.02E-05	0.000517851	-1.003948606
PPP1R15A	48.73573644	-0.720071641	0.230253865	0.001764231	-0.681677865	0.233471328	0.003503125	0.05532278	-0.700874753
PPP1R17	1190.598117	-1.464602995	0.126432577	4.96E-31	-1.379979709	0.126914276	1.54E-27	6.90E-24	-1.422291352
PPP1R9A	35.1952692	0.909850577	0.260246657	0.000472097	0.818220108	0.263319953	0.001887901	0.035273731	0.864035342
PPP2R2B	49.11023467	1.148886729	0.241608089	1.98E-06	1.063474425	0.244378792	1.35E-05	0.000666409	1.106180577
PRDX1	3599.00802	-1.178804425	0.129527251	8.97E-20	-1.151115166	0.129696239	6.96E-19	8.88E-16	-1.164959796
PRDX3	813.611721	-0.523539519	0.113890248	4.29E-06	-0.361227593	0.114308497	0.001577088	0.030553085	-0.442383556
PRDX6	281.9126716	-0.47741162	0.144806128	0.000977576	-0.433856798	0.146138076	0.002989513	0.049079667	-0.455634209
PREPL	186.8577717	0.687660558	0.171229452	5.92E-05	0.738587352	0.172411705	1.84E-05	0.00086796	0.713123955
PREX1	20.4192881	-1.873781032	0.296586486	2.65E-10	-1.808074949	0.299638469	1.60E-09	2.97E-07	-1.840927991
PRKAR2B	71.24553106	0.609722854	0.211449747	0.003932383	0.702022842	0.213233419	0.000993807	0.021648033	0.655872848
PRKCB	29.89185203	1.559958065	0.277461979	1.88E-08	1.441761363	0.280197277	2.67E-07	2.34E-05	1.500859714
PSENEN	129.2553145	-0.770538727	0.174556732	1.01E-05	-0.580153549	0.175788255	0.000965824	0.0212982	-0.675346138
PSMA2	1617.283577	-0.550985104	0.136297041	5.29E-05	-0.386762086	0.136465131	0.004594835	0.066187861	-0.468873595
PSMA7	293.8842061	-0.655592091	0.161831579	5.10E-05	-0.576131974	0.16285319	0.00040357	0.011124326	-0.615862033
PSMD11	276.9481227	-0.397658851	0.133280687	0.002848608	-0.573310482	0.135851193	2.44E-05	0.001101288	-0.485484667
PSMD14	562.3704632	-0.447172691	0.122979795	0.000276746	-0.402180562	0.123821677	0.001161937	0.024194935	-0.424676626
PTPRG	27.87352761	0.82260233	0.278308135	0.00311935	0.769147076	0.280857101	0.006170686	0.082009518	0.795874703
PTTG1	118.2375259	-0.596502087	0.164193123	0.000280221	-0.860305514	0.169572661	3.91E-07	3.26E-05	-0.7284038
RAN	334.7321265	-0.646562015	0.152539671	2.25E-05	-0.499877773	0.153285251	0.001109828	0.023712624	-0.573219894
RASAL2	40.52498879	0.653971007	0.251055706	0.009190535	0.688786371	0.253351479	0.006553925	0.086078097	0.671378689
RASD1	8.577488227	-0.935451739	0.319350296	0.003397985	-0.948631769	0.320284933	0.003058096	0.049748374	-0.942041754
RBFOX1	9.769763802	0.915975419	0.317544023	0.003919586	1.350235696	0.317371675	2.10E-05	0.000974883	1.133105557
RBM3	259.3167338	-0.67612812	0.130143478	2.04E-07	-0.649757848	0.132004998	8.56E-07	6.26E-05	-0.662942984
RBM39	285.1861013	-0.545096271	0.141502496	0.00011706	-0.52091401	0.142980915	0.000269226	0.008041662	-0.533005141
RBM4	73.57924292	0.68372161	0.202328814	0.000726813	0.553870623	0.20573221	0.007098405	0.090854435	0.618796117
RBMS3	230.9683899	0.976233888	0.148039901	4.27E-11	0.697820155	0.150457415	3.52E-06	0.000212299	0.837027022
RBMX2	61.44873567	-0.661835901	0.213983075	0.00198187	-0.924817785	0.220194234	2.67E-05	0.001174247	-0.793326843
RIN2	19.14093466	1.051975129	0.29879462	0.000430361	1.34783872	0.299146082	6.62E-06	0.000371728	1.199906925
RNA45S5	44.1290315	-0.671211441	0.254268173	0.008296043	-1.262878523	0.262439618	1.49E-06	0.000104075	-0.967044982
RNF144A	98.3353295	0.734646041	0.206751938	0.00038047	0.704669764	0.208684233	0.000733537	0.01706047	0.719657903
ROMO1	112.7302264	-0.917180796	0.201499951	5.32E-06	-0.743228713	0.202750139	0.000246627	0.007491929	-0.830204755
ROR1	17.17958713	-1.227137882	0.294033101	3.00E-05	-1.230369206	0.297597935	3.56E-05	0.001506781	-1.228753544
RPL10	3485.639115	-0.822222195	0.136280267	1.61E-09	-0.831756375	0.136440088	1.09E-09	2.21E-07	-0.826989285
RPL10A	552.9707484	-0.673809716	0.156666785	1.70E-05	-0.520789798	0.157098566	0.000916263	0.020356086	-0.597299757
RPL11	2356.73919	-0.378574027	0.140454831	0.007031608	-0.38039536	0.140648084	0.00683888	0.08864737	-0.379484693
RPL13	285.7697151	-0.601376933	0.133128271	6.26E-06	-0.541226831	0.134587736	5.79E-05	0.002227403	-0.571301882
RPL18	435.8887429	-1.062398461	0.187395515	1.43E-08	-0.88877687	0.187808631	2.22E-06	0.00014574	-0.975587665
RPL18A	722.6143112	-0.632446463	0.140050803	6.31E-06	-0.422148011	0.140335213	0.002628518	0.044209586	-0.527297237
RPL22	1056.818219	-0.500507342	0.1600363	0.00176323	-0.464246647	0.16036133	0.00379154	0.058635221	-0.482376994
RPL22L1	63.26900279	-0.982273177	0.220808421	8.65E-06	-0.742888293	0.22193406	0.000815917	0.018589167	-0.862580735
RPL23	1191.384419	-0.421421412	0.15889516	0.007996965	-0.456579077	0.159244669	0.004141807	0.062378547	-0.439000245
RPL23A	675.3230073	-0.470261086	0.135784636	0.00053362	-0.56355807	0.13668821	3.74E-05	0.001568409	-0.516909578
RPL23AP53	71.13551108	0.595211989	0.20603752	0.003866505	0.758852795	0.207405379	0.000253409	0.007671837	0.677032392
RPL27	2044.690433	-0.610025904	0.149758111	4.63E-05	-0.584000828	0.149957708	9.84E-05	0.00351621	-0.597013366
RPL30	1730.01724	-0.503210379	0.159511232	0.001606622	-0.444532332	0.159697806	0.005376186	0.074211313	-0.473871356
RPL31	2930.874514	-0.373035595	0.14590053	0.010564593	-0.426297371	0.146068675	0.003517512	0.05540547	-0.399666483
RPL36A	204.5262369	-0.403931634	0.147342697	0.006116994	-0.578232642	0.150340335	0.000119985	0.004139251	-0.491082138
RPL36AL	613.2767987	-0.620230823	0.115719102	8.33E-08	-0.519313127	0.116439239	8.20E-06	0.000431256	-0.569771975
RPL37	1085.591011	-0.437870182	0.160768535	0.006457345	-0.464917135	0.161138463	0.003911617	0.059855022	-0.451393658
RPL4	2800.281726	-0.509914469	0.123444743	3.62E-05	-0.594852756	0.123694563	1.52E-06	0.000104075	-0.552383613
RPL41	5327.188503	-0.480109526	0.134868044	0.000371072	-0.438162554	0.134950135	0.001166908	0.0242364	-0.45913604
RPL7	3302.469229	-0.448008098	0.12275186	0.000262541	-0.440181431	0.122916813	0.000342108	0.009699568	-0.444094764
RPL7A	1395.883167	-0.553348701	0.148543523	0.00019519	-0.6022811	0.148900557	5.24E-05	0.002059859	-0.5778149
RPLP0	1075.046483	-0.679597193	0.174381323	9.73E-05	-0.603382582	0.174637121	0.00055016	0.01406523	-0.641489888
RPLP1	1167.818002	-0.968786178	0.142749249	1.15E-11	-0.96517401	0.143197738	1.58E-11	4.56E-09	-0.966980094
RPLP2	324.4827902	-0.827570277	0.158173051	1.68E-07	-0.917015519	0.15982158	9.59E-09	1.30E-06	-0.872292898
RPN2	438.5595444	-0.845033492	0.1357001	4.75E-10	-0.776209441	0.136683407	1.36E-08	1.75E-06	-0.810621467
RPS11	1766.213993	-0.430118193	0.161469959	0.007727128	-0.528067574	0.161738825	0.001094872	0.023449171	-0.479092883
RPS12	1268.148795	-0.473077134	0.154056487	0.002134839	-0.540488113	0.154435974	0.000465686	0.012415036	-0.506782624
RPS13	3056.583306	-0.468417408	0.139408316	0.000779314	-0.445043571	0.139552052	0.001427231	0.028579829	-0.45673049
RPS15A	2489.898283	-0.607699163	0.162629822	0.00018645	-0.617996193	0.162789573	0.000146879	0.004858415	-0.612847678
RPS16	422.289153	-0.831554857	0.153052585	5.54E-08	-0.824944766	0.154093949	8.63E-08	9.06E-06	-0.828249811
RPS18	874.0797951	-0.686797195	0.150100038	4.75E-06	-0.506595001	0.150357618	0.000753683	0.017393136	-0.596696098
RPS19	1495.980133	-0.849973614	0.157505763	6.80E-08	-0.648341978	0.157637055	3.91E-05	0.001605684	-0.749157796
RPS21	264.8788866	-1.079415149	0.190117197	1.37E-08	-0.944901601	0.190906403	7.44E-07	5.63E-05	-1.012158375
RPS23	2979.576701	-0.612773631	0.134003137	4.81E-06	-0.52927061	0.134136799	7.95E-05	0.002960245	-0.57102212
RPS25	1765.130193	-0.585391321	0.146268552	6.28E-05	-0.560452309	0.14650695	0.000130543	0.004416217	-0.572921815
RPS27	3134.48088	-0.734445531	0.138816974	1.22E-07	-0.670334658	0.138951252	1.41E-06	9.96E-05	-0.702390094
RPS27A	2170.026652	-0.621932404	0.168312876	0.000219803	-0.567784563	0.168456074	0.000750265	0.017359102	-0.594858483
RPS27L	805.0227607	-1.118722361	0.1359518	1.89E-16	-1.182451018	0.136825976	5.52E-18	4.48E-15	-1.15058669
RPS29	1094.711026	-0.518735523	0.170309398	0.002320297	-0.516107086	0.170623761	0.002487767	0.042809725	-0.517421305
RPS3	373.1773897	-0.75804872	0.16213911	2.94E-06	-0.834514281	0.163450008	3.30E-07	2.86E-05	-0.796281501
RPS6	4865.159818	-0.782534922	0.132902782	3.91E-09	-0.698609715	0.132990126	1.50E-07	1.45E-05	-0.740572318
RPS7	1896.838261	-0.665401047	0.15542802	1.86E-05	-0.573733959	0.155593954	0.000226575	0.007001883	-0.619567503
RPS9	390.3752705	-0.447720281	0.129581477	0.000550036	-0.401327237	0.130700165	0.002136329	0.038312359	-0.424523759
RSL1D1	610.968311	-0.48012635	0.122973666	9.45E-05	-0.360109335	0.123571343	0.003566224	0.056073844	-0.420117843
RSU1	212.4113973	-0.742603395	0.147499465	4.79E-07	-0.541631968	0.148430571	0.000263202	0.007914678	-0.642117681
RTN1	286.3526429	0.532617733	0.166014457	0.001335402	0.75516965	0.166404421	5.67E-06	0.000323373	0.643893691
RUNDC3B	41.29865365	1.184369876	0.252639391	2.76E-06	1.065471532	0.255725539	3.09E-05	0.001321956	1.124920704
S100A13	84.70597107	-1.247283706	0.197843454	2.89E-10	-1.188927474	0.200895771	3.26E-09	5.39E-07	-1.21810559
SALL4	14.15532719	-1.022167113	0.30222099	0.000719119	-1.174310133	0.306494275	0.000127403	0.004359515	-1.098238623
SBK1	74.6934541	1.055066747	0.231441168	5.15E-06	0.733533623	0.234690411	0.001774806	0.033582186	0.894300185
SCAMP1	229.2131179	0.582527238	0.135711338	1.77E-05	0.596912511	0.137263792	1.37E-05	0.000672164	0.589719874
SCAPER	218.1856928	0.574749449	0.140547313	4.33E-05	0.392463585	0.142998842	0.006059894	0.081140801	0.483606517
SCD	487.036336	-0.461441112	0.136344624	0.000713409	-0.734156677	0.138098129	1.06E-07	1.07E-05	-0.597798894
SCD5	118.4746559	0.463591826	0.168980735	0.006079552	0.474167071	0.171172562	0.005603712	0.076407249	0.468879449
